region,state,unit,catboost,lgbm,randomforest,sarimax,xgboost
Midwest,DF,Brasília,12393.197639900904,12365.906936663469,12647.250728650813,12356.601164824446,12678.425843864185
North,AM,Manaus,541.7316269099408,699.9920362104981,505.84426343190813,604.6323626830456,505.928030714003
Northeast,BA,Salvador,731.4871033968785,749.9288847839337,762.4399106172218,906.8478587863777,802.5531500863062
Northeast,CE,Fortaleza,3143.8710545419785,3885.3573873377486,4406.8997575271405,3481.2126767411173,4500.231437834975
Northeast,PE,Recife,1924.0969525873086,2197.3140147370427,1953.533587033571,2544.0585353428173,2004.9987507659953
Southeast,RJ,Rio de Janeiro,7831.503147579743,8474.837132078334,12778.83061520129,6336.2064700336105,16234.25084400464
Southeast,SP,São Paulo,43837.5550443421,43379.862869769895,43821.85608012969,104019.91584813486,44490.157712600696
