region,state,unit,catboost,lgbm,randomforest,sarimax,xgboost
Midwest,DF,Brasília,3886.8190810198075,4559.134171936238,4202.385110192838,4481.896694660601,4196.149254297094
North,AM,Manaus,348.5234854554499,523.8831423668322,328.298044077135,352.91674210146596,324.298379997905
Northeast,BA,Salvador,489.8942302801576,554.0543872800015,513.8346212121211,566.6607036328579,508.49035612479383
Northeast,CE,Fortaleza,1954.873017241636,2915.3181375739764,3275.629070247934,1941.3204326816006,2789.686300619246
Northeast,PE,Recife,1207.9937858780688,1616.7617184270966,1226.259152892562,1364.1246602268436,1229.4044568716001
Southeast,RJ,Rio de Janeiro,4246.387986392714,5813.566531202099,7200.464318181819,2511.594208581612,7554.28045888906
Southeast,SP,São Paulo,9892.273744303311,11224.74491947392,10726.754139118455,17031.300383639893,10686.322068153991
